# name, pid, tid, gid
Y74C9A.3	CE28146	Y74C9A.3.1	WBGene00022277
Y74C9A.2a	CE24660	Y74C9A.2a.1	WBGene00022276
Y74C9A.2a	CE24660	Y74C9A.2a.3	WBGene00022276
Y74C9A.2a	CE24660	Y74C9A.2a.2	WBGene00022276
Y74C9A.2b	CE49228	Y74C9A.2b.1	WBGene00022276
Y74C9A.4a	CE24662	Y74C9A.4a.1	WBGene00022278
Y74C9A.4b	CE28147	Y74C9A.4b.1	WBGene00022278
Y74C9A.4d	CE49439	Y74C9A.4d.1	WBGene00022278
Y74C9A.4c	CE49153	Y74C9A.4c.1	WBGene00022278
Y74C9A.5	CE40291	Y74C9A.5.2	WBGene00022279
Y74C9A.5	CE40291	Y74C9A.5.1	WBGene00022279
Y74C9A.1	CE34428	Y74C9A.1.1	WBGene00022275
Y48G1C.12	CE38647	Y48G1C.12.1	WBGene00044345
Y48G1C.4a	CE30021	Y48G1C.4a.1	WBGene00021677
Y48G1C.4b	CE49150	Y48G1C.4b.1	WBGene00021677
Y48G1C.5	CE39437	Y48G1C.5.1	WBGene00021678
Y48G1C.2b	CE49183	Y48G1C.2b.1	WBGene00000812
Y48G1C.2a	CE34405	Y48G1C.2a.2	WBGene00000812
Y48G1C.2a	CE34405	Y48G1C.2a.3	WBGene00000812
Y48G1C.2a	CE34405	Y48G1C.2a.1	WBGene00000812
Y48G1C.2c	CE49449	Y48G1C.2c.1	WBGene00000812
Y48G1C.10a	CE49177	Y48G1C.10a.1	WBGene00021683
Y48G1C.10a	CE49177	Y48G1C.10a.2	WBGene00021683
Y48G1C.6	CE22175	Y48G1C.6.1	WBGene00021679
Y48G1C.10b	CE39531	Y48G1C.10b.1	WBGene00021683
Y48G1C.10c	CE49384	Y48G1C.10c.1	WBGene00021683
Y48G1C.9a	CE38571	Y48G1C.9a.1	WBGene00021682
Y48G1C.9b	CE54323	Y48G1C.9b.1	WBGene00021682
Y48G1C.1	CE30019	Y48G1C.1.1	WBGene00021676
Y48G1C.13	CE49264	Y48G1C.13.1	WBGene00189949
Y48G1C.8a	CE49446	Y48G1C.8a.1	WBGene00021681
Y48G1C.8b	CE49205	Y48G1C.8b.1	WBGene00021681
F53G12.1	CE11006	F53G12.1.1	WBGene00004274
F53G12.10	CE11024	F53G12.10.1	WBGene00004418
F53G12.10	CE11024	F53G12.10.2	WBGene00004418
F53G12.9a	CE49290	F53G12.9a.1	WBGene00018774
F53G12.9b	CE40458	F53G12.9b.1	WBGene00018774
F53G12.8	CE36697	F53G12.8.1	WBGene00018773
F53G12.7a	CE11018	F53G12.7a.1	WBGene00000622
F53G12.7b	CE49336	F53G12.7b.1	WBGene00000622
F53G12.6	CE29331	F53G12.6.1	WBGene00004962
F53G12.5b	CE11014	F53G12.5b.1	WBGene00003229
F53G12.5a	CE25000	F53G12.5a.2	WBGene00003229
F53G12.5a	CE25000	F53G12.5a.3	WBGene00003229
F53G12.5a	CE25000	F53G12.5a.1	WBGene00003229
F53G12.5c	CE49254	F53G12.5c.1	WBGene00003229
F53G12.4	CE42005	F53G12.4.1	WBGene00018772
F53G12.3	CE24999	F53G12.3.1	WBGene00018771
F53G12.18	CE52352	F53G12.18.1	WBGene00271776
F56C11.1	CE28463	F56C11.1.2	WBGene00000253
F56C11.1	CE28463	F56C11.1.1	WBGene00000253
F56C11.2a	CE17902	F56C11.2a.2	WBGene00004225
F56C11.2a	CE17902	F56C11.2a.1	WBGene00004225
F56C11.2b	CE49167	F56C11.2b.1	WBGene00004225
F56C11.6a	CE17905	F56C11.6a.2	WBGene00018958
F56C11.6b	CE49471	F56C11.6b.1	WBGene00018958
F56C11.6a	CE17905	F56C11.6a.1	WBGene00018958
F56C11.5b	CE42006	F56C11.5b.1	WBGene00018957
F56C11.5a	CE34322	F56C11.5a.1	WBGene00018957
F56C11.3	CE17903	F56C11.3.1	WBGene00018955
Y48G1BL.2a	CE49304	Y48G1BL.2a.1	WBGene00000227
Y48G1BL.2b	CE49311	Y48G1BL.2b.1	WBGene00000227
Y48G1BL.7	CE42498	Y48G1BL.7.1	WBGene00021666
Y48G1BL.8	CE50165	Y48G1BL.8.1	WBGene00255594
Y48G1BM.10	CE54312	Y48G1BM.10.1	WBGene00306121
Y48G1BM.6a	CE54310	Y48G1BM.6a.1	WBGene00021671
Y48G1BM.1	CE40284	Y48G1BM.1.1	WBGene00021667
Y48G1BR.1	CE49441	Y48G1BR.1.1	WBGene00021675
C53D5.2	CE52621	C53D5.2.1	WBGene00016903
C53D5.4a	CE23611	C53D5.4a.1	WBGene00016905
C53D5.4b	CE28215	C53D5.4b.1	WBGene00016905
C53D5.4f	CE49346	C53D5.4f.1	WBGene00016905
C53D5.4c	CE49249	C53D5.4c.1	WBGene00016905
C53D5.4e	CE49450	C53D5.4e.1	WBGene00016905
